code;group;session;block;pos;pres_t;stim
AD0210;forcedguess;0;0;0;405;VASE
AD0210;forcedguess;0;0;1;405;SENKUNG
AD0210;forcedguess;0;0;2;406;BRAUCH
AD0210;forcedguess;0;0;3;406;SCHATTEN
AD0210;forcedguess;0;0;4;406;TÜTE
AD0210;forcedguess;0;0;5;405;PIRAT
AD0210;forcedguess;0;0;6;406;SOLO
AD0210;forcedguess;0;0;7;405;ZWIEBEL
AD0210;forcedguess;0;0;8;405;TRICK
AD0210;forcedguess;0;0;9;407;SYNTHESE
AD0210;forcedguess;0;0;10;406;REGAL
AD0210;forcedguess;0;0;11;406;DECKUNG
AD0210;forcedguess;0;0;12;406;FORMEL
AD0210;forcedguess;0;0;13;405;SCHEMA
AD0210;forcedguess;0;0;14;407;KÄUFER
AD0210;forcedguess;0;0;15;405;VENTIL
AD0210;forcedguess;0;0;16;405;ZWIEBEL
AD0210;forcedguess;0;0;17;407;DIESEL
AD0210;forcedguess;0;0;18;406;BESTAND
AD0210;forcedguess;0;0;19;406;AUSÜBUNG
AD0210;forcedguess;0;0;20;405;GEMÜT
AD0210;forcedguess;0;0;21;405;PLAKAT
AD0210;forcedguess;0;0;22;407;SCHEMA
AD0210;forcedguess;0;0;23;405;KÄUFER
AD0210;forcedguess;0;0;24;405;KABEL
AD0210;forcedguess;0;0;25;406;AUSDRUCK
AD0210;forcedguess;0;0;26;406;ERLÖS
AD0210;forcedguess;0;0;27;407;REDNER
AD0210;forcedguess;0;0;28;405;STALL
AD0210;forcedguess;0;0;29;405;JÜNGER
AD0210;forcedguess;0;0;30;406;FORMEL
AD0210;forcedguess;0;0;31;405;HALLE
AD0210;forcedguess;0;0;32;406;HAUT
AD0210;forcedguess;0;0;33;406;SCHWEIN
AD0210;forcedguess;0;0;34;406;PERÜCKE
AD0210;forcedguess;0;0;35;407;DEUTUNG
AD0210;forcedguess;0;0;36;405;STÜTZE
AD0210;forcedguess;0;0;37;407;WERTUNG
AD0210;forcedguess;0;0;38;406;DECKUNG
AD0210;forcedguess;0;0;39;405;GEREDE
AD0210;forcedguess;0;0;40;406;BECKEN
AD0210;forcedguess;0;0;41;406;SÄULE
